,test #,RUL prediction
0,1,6.6887474
1,2,119.38182
2,3,67.5425
3,4,68.20104
4,5,22.822432
5,6,126.67963
6,7,9.753049
7,8,56.728275
8,9,7.0914183
9,10,127.019615
10,11,19.975225
11,12,116.951706
12,13,24.065084
13,14,15.59749
14,15,53.651073
15,16,103.08435
16,17,68.85568
17,18,126.792694
18,19,20.711458
19,20,82.406494
20,21,62.173176
21,22,33.044716
22,23,126.382385
23,24,97.19115
24,25,123.37914
25,26,110.24891
26,27,122.41029
27,28,126.69772
28,29,76.26779
29,30,61.632465
30,31,69.03349
31,32,9.111305
32,33,62.468594
33,34,122.896866
34,35,123.92772
35,36,81.684425
36,37,123.87385
37,38,29.588932
38,39,30.733843
39,40,47.833263
40,41,28.885714
41,42,22.825796
42,43,13.309574
43,44,15.352327
44,45,19.634401
45,46,100.28109
46,47,127.05841
47,48,31.883474
48,49,126.79371
49,50,14.151175
50,51,127.10376
51,52,40.31815
52,53,19.816084
53,54,109.75857
54,55,92.47888
55,56,85.00049
56,57,120.33591
57,58,26.067755
58,59,126.73117
59,60,49.529823
60,61,127.07226
61,62,28.232279
62,63,45.128105
63,64,13.894762
64,65,16.10781
65,66,126.91294
66,67,98.412994
67,68,89.16553
68,69,101.50382
69,70,13.746872
70,71,127.11772
71,72,103.17355
72,73,72.0347
73,74,78.96684
74,75,65.65248
75,76,27.427404
76,77,126.907555
77,78,74.058716
78,79,94.03081
79,80,11.0521755
80,81,126.54004
81,82,86.92412
82,83,112.0381
83,84,28.858793
84,85,20.439379
85,86,127.07434
86,87,36.535706
87,88,46.502136
88,89,124.541145
89,90,17.459398
90,91,38.5472
91,92,44.045753
92,93,125.879326
93,94,82.77537
94,95,75.069435
95,96,50.87438
96,97,19.015509
97,98,118.549774
98,99,6.3772054
99,100,16.674833
100,101,127.107796
101,102,27.64675
102,103,16.710676
103,104,96.04905
104,105,127.02066
105,106,113.2576
106,107,55.554554
107,108,72.9292
108,109,33.75015
109,110,52.529716
110,111,34.281834
111,112,77.29915
112,113,122.471466
113,114,62.601692
114,115,74.13414
115,116,11.446114
116,117,119.772
117,118,71.273315
118,119,74.17944
119,120,23.406658
120,121,126.43378
121,122,125.54947
122,123,123.57735
123,124,12.499445
124,125,105.49925
125,126,82.0816
126,127,49.233818
127,128,87.9639
128,129,55.112602
129,130,95.54653
130,131,79.78167
131,132,56.438217
132,133,34.8904
133,134,8.120525
134,135,89.955345
135,136,127.11566
136,137,57.990852
137,138,33.469524
138,139,76.74245
139,140,45.22776
140,141,104.24866
141,142,58.957367
142,143,78.86954
143,144,34.93157
144,145,47.28064
145,146,12.474743
146,147,123.886696
147,148,19.885141
148,149,110.28426
149,150,15.952444
150,151,81.83951
151,152,125.17354
152,153,79.22208
153,154,126.76884
154,155,108.92192
155,156,104.53
156,157,64.47613
157,158,16.564129
158,159,13.285431
159,160,117.99922
160,161,28.945974
161,162,24.478468
162,163,64.60492
163,164,7.8470197
164,165,127.08688
165,166,84.98015
166,167,121.127266
167,168,107.78685
168,169,118.852646
169,170,119.33382
170,171,115.43694
171,172,69.484436
172,173,44.964005
173,174,114.4232
174,175,121.09587
175,176,24.11104
176,177,12.261642
177,178,126.92848
178,179,76.66695
179,180,30.306786
180,181,79.600586
181,182,26.811588
182,183,43.134758
183,184,101.52963
184,185,31.298227
185,186,20.838724
186,187,126.98119
187,188,120.03646
188,189,73.944885
189,190,62.13641
190,191,81.57509
191,192,27.68588
192,193,28.042528
193,194,113.39
194,195,62.569565
195,196,81.00533
196,197,118.27139
197,198,41.27688
198,199,73.864525
199,200,107.9565
200,201,127.02544
201,202,106.28697
202,203,122.76914
203,204,123.974686
204,205,126.32976
205,206,34.032642
206,207,87.667404
207,208,7.955509
208,209,37.64727
209,210,13.153576
210,211,30.631178
211,212,47.804447
212,213,41.237694
213,214,86.95944
214,215,125.67439
215,216,107.42256
216,217,110.25761
217,218,127.01639
218,219,36.46652
219,220,123.2507
220,221,107.04407
221,222,65.46338
222,223,126.73675
223,224,123.931885
224,225,11.553164
225,226,87.06415
226,227,13.061266
227,228,126.53144
228,229,101.28555
229,230,78.2985
230,231,8.496914
231,232,65.25376
232,233,127.04777
233,234,79.14816
234,235,126.86183
235,236,15.420187
236,237,48.310944
237,238,110.67746
238,239,92.86981
239,240,122.96979
240,241,126.78749
241,242,12.774475
242,243,125.554825
243,244,121.61864
244,245,17.289335
245,246,84.941345
246,247,125.027534
247,248,57.761738
248,249,120.92866
249,250,13.014856
250,251,101.04709
251,252,19.375502
252,253,48.338295
253,254,55.978306
254,255,72.7896
255,256,126.514435
256,257,73.00205
257,258,90.56595
258,259,75.647125
