,test #,RUL prediction
0,1,13.310577
1,2,124.38631
2,3,76.5647
3,4,108.96397
4,5,14.6176815
5,6,117.81574
6,7,15.837944
7,8,28.576025
8,9,9.655753
9,10,109.09859
10,11,32.532124
11,12,116.30535
12,13,30.312172
13,14,8.277908
14,15,49.57695
15,16,93.86366
16,17,89.7553
17,18,122.31261
18,19,24.720848
19,20,61.048046
20,21,65.82861
21,22,32.99668
22,23,121.55955
23,24,61.838837
24,25,85.06111
25,26,106.038666
26,27,114.43005
27,28,123.00956
28,29,100.46672
29,30,55.516724
30,31,89.24947
31,32,13.14628
32,33,44.131428
33,34,119.86713
34,35,104.654205
35,36,86.02544
36,37,115.0925
37,38,30.590641
38,39,35.545258
39,40,64.62901
40,41,33.191193
41,42,38.33864
42,43,63.975258
43,44,17.539791
44,45,11.292589
45,46,104.25723
46,47,109.393585
47,48,23.073822
48,49,110.5114
49,50,19.687904
50,51,125.07574
51,52,12.258858
52,53,41.13909
53,54,104.34652
54,55,81.82253
55,56,113.42029
56,57,116.49867
57,58,21.71393
58,59,126.26547
59,60,73.92386
60,61,110.358826
61,62,34.68586
62,63,87.90398
63,64,13.359842
64,65,20.615978
65,66,115.48778
66,67,84.03293
67,68,56.765553
68,69,95.984055
69,70,13.571426
70,71,114.71831
71,72,76.21452
72,73,86.67915
73,74,102.648575
74,75,83.74443
75,76,26.75679
76,77,106.2529
77,78,89.119835
78,79,97.381714
79,80,8.470817
80,81,112.55341
81,82,96.41524
82,83,121.121445
83,84,22.427559
84,85,42.703766
85,86,106.79172
86,87,16.507967
87,88,64.25142
88,89,118.65697
89,90,20.676805
90,91,24.02206
91,92,89.31612
92,93,114.23514
93,94,80.22191
94,95,105.01048
95,96,29.457561
96,97,19.488028
97,98,93.0076
98,99,10.761353
99,100,33.253872
100,101,125.1845
101,102,23.087765
102,103,5.5247703
103,104,94.25325
104,105,113.06053
105,106,109.15828
106,107,45.033527
107,108,103.68157
108,109,28.82987
109,110,92.27949
110,111,20.755196
111,112,63.52114
112,113,118.096756
113,114,72.041626
114,115,67.03703
115,116,9.351736
116,117,118.71068
117,118,105.98447
118,119,79.4801
119,120,23.091312
120,121,116.085594
121,122,123.42837
122,123,114.501335
123,124,8.849619
124,125,107.92523
125,126,98.934235
126,127,51.502285
127,128,77.16034
128,129,67.26516
129,130,108.484604
130,131,103.72429
131,132,53.091473
132,133,66.617836
133,134,23.658546
134,135,104.23871
135,136,114.77532
136,137,60.033993
137,138,9.805271
138,139,79.0328
139,140,77.54184
140,141,112.724045
141,142,39.906746
142,143,79.82414
143,144,40.61669
144,145,90.42053
145,146,20.28788
146,147,105.343475
147,148,20.954605
148,149,107.10109
149,150,16.709766
150,151,96.86401
151,152,99.809265
152,153,92.835144
153,154,113.33002
154,155,109.53763
155,156,108.19676
156,157,87.16208
157,158,20.535198
158,159,12.437078
159,160,82.57472
160,161,18.036144
161,162,51.222076
162,163,75.83479
163,164,8.584677
164,165,124.03065
165,166,102.937744
166,167,112.66872
167,168,99.35489
168,169,104.74637
169,170,103.61691
170,171,45.847183
171,172,61.320465
172,173,25.50151
173,174,115.96396
174,175,104.24755
175,176,33.118256
176,177,10.697641
177,178,110.4095
178,179,50.569145
179,180,69.2655
180,181,36.37059
181,182,13.2271385
182,183,89.167206
183,184,115.21847
184,185,19.730223
185,186,18.437683
186,187,105.63173
187,188,101.26403
188,189,73.68369
189,190,20.525944
190,191,100.36067
191,192,35.274063
192,193,24.079393
193,194,125.654236
194,195,87.28258
195,196,99.993454
196,197,115.82874
197,198,104.49857
198,199,100.05353
199,200,106.52616
200,201,123.35516
201,202,93.989655
202,203,85.59669
203,204,118.6313
204,205,119.493774
205,206,61.371593
206,207,67.58746
207,208,12.08375
208,209,42.502876
209,210,14.397993
210,211,34.188816
211,212,53.103516
212,213,22.130276
213,214,112.49852
214,215,104.30702
215,216,107.0031
216,217,113.80615
217,218,126.155556
218,219,79.92734
219,220,120.17972
220,221,118.32897
221,222,65.35746
222,223,121.64312
223,224,126.16401
224,225,14.293688
225,226,79.985565
226,227,10.438194
227,228,114.545906
228,229,102.43298
229,230,95.16172
230,231,8.866804
231,232,52.161724
232,233,122.85898
233,234,101.77458
234,235,104.02
235,236,14.920755
236,237,41.472713
237,238,107.12489
238,239,90.626434
239,240,119.916466
240,241,121.498085
241,242,12.344393
242,243,118.37758
243,244,118.89288
244,245,11.112785
245,246,103.41452
246,247,117.51927
247,248,82.425644
248,249,120.54849
249,250,11.5599785
250,251,115.12665
251,252,18.496872
252,253,99.20514
253,254,84.818054
254,255,95.13139
255,256,117.45273
256,257,66.16081
257,258,103.80714
258,259,100.434814
