,test #,RUL prediction
0,1,8.928396
1,2,118.15012
2,3,113.99684
3,4,87.36172
4,5,11.573656
5,6,114.61077
6,7,9.623396
7,8,64.84834
8,9,6.538522
9,10,72.73007
10,11,5.177396
11,12,116.23033
12,13,29.983095
13,14,11.716712
14,15,41.63481
15,16,75.93089
16,17,96.38674
17,18,122.20607
18,19,23.903046
19,20,44.70428
20,21,87.450386
21,22,14.917063
22,23,104.12567
23,24,84.18355
24,25,71.00668
25,26,100.493454
26,27,106.97182
27,28,122.138824
28,29,74.364365
29,30,77.71544
30,31,111.9881
31,32,12.472638
32,33,62.77174
33,34,122.18881
34,35,65.543076
35,36,81.04936
36,37,112.5342
37,38,45.046333
38,39,58.975803
39,40,42.888462
40,41,28.565416
41,42,31.181805
42,43,15.152988
43,44,8.49949
44,45,11.737474
45,46,107.056305
46,47,86.751495
47,48,11.475105
48,49,88.42521
49,50,8.852484
50,51,122.50479
51,52,48.607327
52,53,39.434948
53,54,62.96307
54,55,81.37407
55,56,113.69891
56,57,111.74232
57,58,28.296837
58,59,112.14154
59,60,70.830124
60,61,106.175316
61,62,31.348316
62,63,41.33328
63,64,9.517401
64,65,5.9952087
65,66,115.8253
66,67,85.04344
67,68,72.00743
68,69,120.39104
69,70,18.386272
70,71,121.9418
71,72,73.80593
72,73,53.90837
73,74,64.892525
74,75,111.365295
75,76,33.574078
76,77,111.39781
77,78,57.15595
78,79,85.764404
79,80,7.4872646
80,81,120.46217
81,82,80.664825
82,83,117.2693
83,84,20.756733
84,85,41.483143
85,86,99.900604
86,87,25.332958
87,88,77.89695
88,89,122.46806
89,90,11.691004
90,91,26.40073
91,92,100.56194
92,93,122.46551
93,94,75.94188
94,95,55.69469
95,96,50.139668
96,97,24.069592
97,98,118.44425
98,99,5.246499
99,100,18.019098
100,101,102.50134
101,102,16.820183
102,103,7.4404335
103,104,98.16205
104,105,122.02052
105,106,101.94253
106,107,57.438908
107,108,116.96628
108,109,38.385433
109,110,84.99547
110,111,12.651277
111,112,56.23998
112,113,122.0253
113,114,79.86092
114,115,97.70417
115,116,11.805812
116,117,118.213745
117,118,75.60782
118,119,120.87463
119,120,17.108461
120,121,104.68089
121,122,120.52876
122,123,69.180855
123,124,8.370054
124,125,116.24353
125,126,88.27054
126,127,60.067585
127,128,84.787155
128,129,62.343
129,130,115.648926
130,131,117.1878
131,132,51.115734
132,133,46.10416
133,134,5.5514975
134,135,119.16115
135,136,85.932755
136,137,81.82532
137,138,11.822835
138,139,68.10778
139,140,70.29911
140,141,99.80872
141,142,47.56689
142,143,78.337875
143,144,42.288082
144,145,80.74486
145,146,7.182579
146,147,100.78972
147,148,15.485026
148,149,86.90092
149,150,22.688808
150,151,78.65793
151,152,72.363174
152,153,106.13599
153,154,102.97696
154,155,119.414444
155,156,68.26108
156,157,113.436584
157,158,24.018763
158,159,8.174479
159,160,40.085663
160,161,17.676306
161,162,38.99115
162,163,78.311356
163,164,6.277752
164,165,120.3627
165,166,106.6185
166,167,108.789825
167,168,54.473515
168,169,86.52928
169,170,108.01106
170,171,45.813705
171,172,83.39492
172,173,20.715628
173,174,118.034325
174,175,117.52694
175,176,18.664228
176,177,5.1468487
177,178,110.71308
178,179,46.26884
179,180,82.97014
180,181,63.041103
181,182,30.382256
182,183,54.955143
183,184,122.49233
184,185,22.036308
185,186,9.708907
186,187,104.58001
187,188,115.61762
188,189,54.113094
189,190,26.559341
190,191,59.314632
191,192,26.449919
192,193,42.338833
193,194,118.41902
194,195,69.58936
195,196,91.12386
196,197,119.7001
197,198,59.107845
198,199,77.15457
199,200,120.529526
200,201,118.711334
201,202,86.20976
202,203,119.50493
203,204,122.52225
204,205,119.68393
205,206,47.907955
206,207,96.872116
207,208,5.580862
208,209,39.42538
209,210,7.052636
210,211,10.307678
211,212,61.338314
212,213,69.80279
213,214,75.677376
214,215,91.710236
215,216,74.26247
216,217,122.51623
217,218,122.52449
218,219,97.17353
219,220,122.45735
220,221,119.39102
221,222,63.167988
222,223,122.46707
223,224,122.42487
224,225,22.269882
225,226,120.88925
226,227,7.3451805
227,228,120.35927
228,229,81.47511
229,230,112.206276
230,231,6.5496855
231,232,81.55324
232,233,120.906395
233,234,93.3614
234,235,111.043205
235,236,17.964943
236,237,59.844143
237,238,121.408585
238,239,93.518906
239,240,101.77966
240,241,114.31668
241,242,18.990389
242,243,121.02525
243,244,119.008965
244,245,14.977855
245,246,111.17294
246,247,122.24962
247,248,66.90367
248,249,120.056
249,250,13.214305
250,251,94.445114
251,252,24.322737
252,253,60.36874
253,254,28.477894
254,255,101.70873
255,256,105.688034
256,257,64.790474
257,258,99.42588
258,259,58.47537
