,test #,RUL prediction
0,1,7.165104
1,2,124.13311
2,3,119.43513
3,4,88.34231
4,5,14.386437
5,6,123.82939
6,7,11.381877
7,8,97.38179
8,9,8.82949
9,10,96.5179
10,11,12.270609
11,12,82.87289
12,13,39.5266
13,14,10.588669
14,15,50.1853
15,16,97.43102
16,17,59.402428
17,18,123.47564
18,19,19.268738
19,20,85.259514
20,21,71.73705
21,22,11.714506
22,23,114.42382
23,24,66.77191
24,25,95.07145
25,26,111.807304
26,27,121.96665
27,28,121.643394
28,29,74.570114
29,30,74.525185
30,31,61.775616
31,32,11.6729
32,33,73.768295
33,34,123.310326
34,35,118.8557
35,36,116.93801
36,37,124.1417
37,38,46.457317
38,39,57.451023
39,40,38.950016
40,41,33.327465
41,42,41.934483
42,43,18.09385
43,44,13.292151
44,45,10.531488
45,46,104.93334
46,47,98.181175
47,48,11.7494755
48,49,123.62388
49,50,10.86902
50,51,122.92414
51,52,41.741806
52,53,25.085846
53,54,122.10684
54,55,101.00483
55,56,123.84389
56,57,105.792244
57,58,21.74825
58,59,119.88915
59,60,59.34531
60,61,119.725426
61,62,42.752575
62,63,47.492268
63,64,10.821394
64,65,7.7518
65,66,124.50448
66,67,98.42395
67,68,68.64945
68,69,116.7093
69,70,13.062678
70,71,106.792625
71,72,85.1097
72,73,73.01612
73,74,72.32684
74,75,92.0445
75,76,32.02774
76,77,123.51577
77,78,46.229343
78,79,86.16132
79,80,7.7792816
80,81,120.93774
81,82,91.65744
82,83,119.99627
83,84,24.559612
84,85,32.697033
85,86,123.84282
86,87,24.858917
87,88,90.9512
88,89,123.008965
89,90,10.876175
90,91,19.464828
91,92,73.05959
92,93,124.504684
93,94,82.58953
94,95,81.557274
95,96,48.361958
96,97,30.952969
97,98,121.005
98,99,4.5060897
99,100,24.540985
100,101,124.504654
101,102,25.791012
102,103,8.01112
103,104,104.09876
104,105,84.82683
105,106,119.06922
106,107,52.147964
107,108,116.548294
108,109,46.87839
109,110,75.89316
110,111,18.597591
111,112,78.42333
112,113,124.5046
113,114,100.3768
114,115,75.27021
115,116,10.410337
116,117,122.40912
117,118,99.4228
118,119,119.11728
119,120,20.882263
120,121,124.42184
121,122,124.32988
122,123,124.4715
123,124,10.36527
124,125,96.675224
125,126,101.50503
126,127,79.80067
127,128,97.930214
128,129,86.68343
129,130,114.35798
130,131,83.34037
131,132,54.138664
132,133,43.59763
133,134,5.543144
134,135,117.751564
135,136,115.22899
136,137,78.45155
137,138,31.117023
138,139,53.267265
139,140,67.00797
140,141,117.89463
141,142,46.18768
142,143,110.02274
143,144,40.08413
144,145,83.29316
145,146,13.521255
146,147,117.94566
147,148,23.241589
148,149,100.6211
149,150,29.229912
150,151,79.31628
151,152,78.09075
152,153,80.110985
153,154,120.39944
154,155,124.286354
155,156,115.13433
156,157,96.33105
157,158,19.266445
158,159,12.116117
159,160,66.95454
160,161,14.141524
161,162,47.287632
162,163,44.343174
163,164,5.464079
164,165,123.36355
165,166,83.26857
166,167,109.82455
167,168,73.07502
168,169,105.580696
169,170,109.95519
170,171,61.675335
171,172,52.5256
172,173,19.840645
173,174,124.46941
174,175,113.92874
175,176,20.993927
176,177,6.049349
177,178,123.51063
178,179,86.28173
179,180,108.422264
180,181,90.145195
181,182,6.360773
182,183,66.48081
183,184,124.47188
184,185,12.106224
185,186,10.553027
186,187,97.13157
187,188,121.64263
188,189,61.430767
189,190,36.267513
190,191,101.58207
191,192,22.982101
192,193,32.96155
193,194,122.32739
194,195,64.53662
195,196,98.732704
196,197,122.11323
197,198,60.864895
198,199,86.744156
199,200,116.764885
200,201,123.73055
201,202,99.64338
202,203,114.80688
203,204,124.504684
204,205,111.94223
205,206,44.73167
206,207,112.84227
207,208,7.932262
208,209,34.580597
209,210,9.138561
210,211,13.690013
211,212,42.331043
212,213,41.14172
213,214,102.570045
214,215,92.147484
215,216,62.09219
216,217,108.226326
217,218,124.50426
218,219,90.04149
219,220,124.48709
220,221,121.66798
221,222,76.90897
222,223,124.49347
223,224,124.504326
224,225,21.31828
225,226,99.42965
226,227,11.622307
227,228,111.69161
228,229,122.23176
229,230,101.92155
230,231,7.5708485
231,232,82.81224
232,233,124.395744
233,234,92.9658
234,235,124.37127
235,236,14.703443
236,237,51.660988
237,238,109.004875
238,239,107.67528
239,240,119.477486
240,241,79.911415
241,242,14.1298065
242,243,122.70412
243,244,124.504684
244,245,6.2950964
245,246,121.84757
246,247,110.60605
247,248,54.842457
248,249,122.466484
249,250,7.5780454
250,251,110.42102
251,252,16.449974
252,253,79.96952
253,254,31.598404
254,255,104.21632
255,256,118.60445
256,257,61.761715
257,258,118.440315
258,259,60.48615
