,test #,RUL prediction
0,1,11.747265
1,2,127.02429
2,3,106.02484
3,4,119.026474
4,5,11.792494
5,6,109.85836
6,7,17.113182
7,8,18.697678
8,9,8.196749
9,10,124.83247
10,11,29.335667
11,12,119.042694
12,13,19.311518
13,14,7.6228848
14,15,30.083456
15,16,68.683304
16,17,59.263004
17,18,126.78873
18,19,17.722847
19,20,64.12797
20,21,54.824955
21,22,25.705149
22,23,124.86454
23,24,50.178894
24,25,115.86447
25,26,109.4725
26,27,112.856476
27,28,126.03103
28,29,92.74887
29,30,48.132076
30,31,69.19783
31,32,10.850523
32,33,29.451117
33,34,126.3448
34,35,103.20408
35,36,76.28657
36,37,103.25257
37,38,14.395367
38,39,42.746063
39,40,36.56672
40,41,31.733706
41,42,30.580196
42,43,29.837904
43,44,14.853052
44,45,7.0940757
45,46,95.830475
46,47,108.72173
47,48,21.560913
48,49,102.71593
49,50,14.994989
50,51,126.961784
51,52,16.168903
52,53,17.477726
53,54,123.14578
54,55,68.523415
55,56,114.84291
56,57,125.60222
57,58,21.790329
58,59,127.122765
59,60,72.07878
60,61,113.21886
61,62,30.689695
62,63,53.17276
63,64,11.858397
64,65,21.938787
65,66,119.59217
66,67,58.61197
67,68,40.758545
68,69,58.51732
69,70,9.886871
70,71,119.85486
71,72,55.92763
72,73,55.17353
73,74,93.07425
74,75,57.49162
75,76,36.08738
76,77,116.99817
77,78,65.67531
78,79,80.12633
79,80,7.033047
80,81,116.62572
81,82,110.92856
82,83,122.41772
83,84,21.038599
84,85,34.957348
85,86,95.235565
86,87,17.908323
87,88,43.174007
88,89,120.54888
89,90,15.903841
90,91,19.677065
91,92,65.03263
92,93,126.63925
93,94,69.9302
94,95,110.050705
95,96,20.553633
96,97,20.493523
97,98,83.11989
98,99,6.933657
99,100,33.138237
100,101,123.86302
101,102,25.389067
102,103,6.258317
103,104,79.89056
104,105,116.5085
105,106,113.70825
106,107,34.18161
107,108,94.07275
108,109,30.3641
109,110,47.07848
110,111,23.35014
111,112,110.88004
112,113,114.118484
113,114,68.53163
114,115,37.101624
115,116,7.2105517
116,117,118.426994
117,118,75.15066
118,119,70.11232
119,120,16.890057
120,121,121.52432
121,122,126.82049
122,123,117.796974
123,124,9.480886
124,125,115.93111
125,126,70.43652
126,127,39.25389
127,128,36.28087
128,129,55.39778
129,130,121.8994
130,131,117.00061
131,132,44.698124
132,133,27.689814
133,134,21.293673
134,135,94.9368
135,136,78.2287
136,137,46.81211
137,138,10.101942
138,139,66.00399
139,140,65.83526
140,141,120.72264
141,142,26.497198
142,143,79.69143
143,144,34.09903
144,145,69.654976
145,146,17.994232
146,147,111.48517
147,148,21.015562
148,149,102.52569
149,150,10.45095
150,151,92.46094
151,152,98.04497
152,153,75.84694
153,154,120.99759
154,155,112.71765
155,156,111.75455
156,157,58.342766
157,158,15.240101
158,159,8.953849
159,160,54.880867
160,161,12.663103
161,162,51.130558
162,163,84.940994
163,164,9.790209
164,165,126.1092
165,166,94.11308
166,167,50.557762
167,168,92.64969
168,169,69.809845
169,170,96.51488
170,171,44.022095
171,172,60.181606
172,173,21.15933
173,174,117.68448
174,175,111.82344
175,176,31.070065
176,177,8.582277
177,178,122.56161
178,179,41.39675
179,180,49.5739
180,181,42.708614
181,182,14.782835
182,183,61.16821
183,184,119.34324
184,185,14.352037
185,186,15.892868
186,187,67.69844
187,188,116.5999
188,189,92.224625
189,190,13.3761635
190,191,117.94843
191,192,36.15902
192,193,36.099163
193,194,127.037415
194,195,76.68513
195,196,90.401855
196,197,118.581635
197,198,91.77899
198,199,106.33967
199,200,93.82813
200,201,127.12313
201,202,78.50387
202,203,63.92761
203,204,125.28835
204,205,127.12315
205,206,51.374443
206,207,67.18758
207,208,11.185381
208,209,31.687254
209,210,11.291803
210,211,33.06001
211,212,46.051056
212,213,9.151798
213,214,113.38838
214,215,124.3713
215,216,105.66748
216,217,126.72728
217,218,127.11392
218,219,40.16354
219,220,119.86154
220,221,126.550964
221,222,57.27342
222,223,117.057014
223,224,127.12297
224,225,13.471542
225,226,51.732956
226,227,9.04171
227,228,115.26649
228,229,113.183334
229,230,94.40744
230,231,6.821112
231,232,48.607964
232,233,127.123184
233,234,76.41542
234,235,90.86979
235,236,11.57106
236,237,52.991287
237,238,100.13805
238,239,84.08729
239,240,123.89187
240,241,126.36847
241,242,10.325796
242,243,119.92164
243,244,126.06137
244,245,8.661814
245,246,69.524765
246,247,125.45187
247,248,68.133575
248,249,127.080154
249,250,7.371906
250,251,118.52685
251,252,24.738512
252,253,84.93295
253,254,63.101524
254,255,63.833504
255,256,122.77902
256,257,43.41771
257,258,79.73115
258,259,90.375786
