,test #,RUL prediction
0,1,5.8999844
1,2,120.5133
2,3,77.12705
3,4,110.9286
4,5,7.1797442
5,6,111.04892
6,7,17.21796
7,8,32.75711
8,9,9.814032
9,10,100.92385
10,11,27.849344
11,12,107.381874
12,13,43.012024
13,14,9.719875
14,15,34.201942
15,16,93.998024
16,17,76.10015
17,18,120.11903
18,19,26.538647
19,20,88.26127
20,21,72.411995
21,22,18.306824
22,23,116.17424
23,24,57.276287
24,25,90.38239
25,26,108.443214
26,27,110.78759
27,28,120.5133
28,29,94.507515
29,30,72.69015
30,31,96.58575
31,32,16.004074
32,33,75.52689
33,34,114.56781
34,35,94.897934
35,36,83.56309
36,37,111.88038
37,38,24.094997
38,39,46.9843
39,40,51.551323
40,41,32.287025
41,42,32.242123
42,43,15.5242195
43,44,15.495932
44,45,6.929151
45,46,76.10266
46,47,111.61413
47,48,18.60672
48,49,99.73648
49,50,21.069555
50,51,120.165245
51,52,9.925215
52,53,30.257526
53,54,96.67299
54,55,92.80845
55,56,111.64527
56,57,112.86542
57,58,24.568087
58,59,120.5133
59,60,59.8843
60,61,102.26977
61,62,30.569038
62,63,41.4673
63,64,14.01074
64,65,28.737206
65,66,112.16423
66,67,83.049675
67,68,30.136162
68,69,60.8274
69,70,9.79697
70,71,118.67869
71,72,35.955616
72,73,72.73539
73,74,97.97314
74,75,53.885475
75,76,33.350952
76,77,94.367226
77,78,52.63478
78,79,48.48131
79,80,6.903795
80,81,114.328514
81,82,95.45516
82,83,115.28532
83,84,26.201567
84,85,34.84719
85,86,110.366714
86,87,26.324608
87,88,42.18921
88,89,113.36213
89,90,17.668394
90,91,16.083881
91,92,47.582977
92,93,110.25591
93,94,79.42188
94,95,84.38025
95,96,23.563824
96,97,21.946121
97,98,83.402725
98,99,7.8099437
99,100,35.123276
100,101,120.51307
101,102,24.271639
102,103,4.5258694
103,104,89.955765
104,105,118.86689
105,106,102.091385
106,107,40.515854
107,108,76.62833
108,109,21.254763
109,110,50.438786
110,111,28.76115
111,112,80.87196
112,113,119.27137
113,114,40.935078
114,115,71.59616
115,116,14.448156
116,117,120.39672
117,118,95.512245
118,119,86.67812
119,120,22.869543
120,121,111.990944
121,122,120.424324
122,123,115.70272
123,124,7.8703084
124,125,93.97051
125,126,78.08804
126,127,48.254066
127,128,61.63549
128,129,59.10814
129,130,116.174385
130,131,101.78208
131,132,50.826958
132,133,40.32225
133,134,21.146778
134,135,89.127815
135,136,94.90884
136,137,42.960243
137,138,6.323347
138,139,92.07455
139,140,83.03373
140,141,101.67032
141,142,38.156364
142,143,61.384155
143,144,34.56537
144,145,70.47956
145,146,25.64152
146,147,106.38815
147,148,22.370686
148,149,100.84753
149,150,10.556343
150,151,71.97473
151,152,96.592476
152,153,43.492104
153,154,107.60581
154,155,101.414116
155,156,106.12839
156,157,75.42553
157,158,14.303911
158,159,8.379978
159,160,41.90714
160,161,18.083838
161,162,45.383194
162,163,64.06104
163,164,6.8657627
164,165,120.513054
165,166,88.72741
166,167,110.34962
167,168,98.28704
168,169,96.3525
169,170,90.588585
170,171,48.514915
171,172,100.95388
172,173,22.275297
173,174,116.95568
174,175,111.29081
175,176,19.76538
176,177,6.317569
177,178,104.067055
178,179,47.467724
179,180,40.326393
180,181,23.170012
181,182,10.599442
182,183,59.542988
183,184,100.84718
184,185,23.016665
185,186,12.13623
186,187,102.588776
187,188,91.08387
188,189,50.179947
189,190,29.27562
190,191,99.09299
191,192,24.00898
192,193,22.28952
193,194,120.50818
194,195,69.82756
195,196,89.057884
196,197,108.58797
197,198,68.07494
198,199,69.36894
199,200,102.15977
200,201,120.5133
201,202,98.2718
202,203,77.44262
203,204,116.23154
204,205,117.99003
205,206,53.778454
206,207,64.064125
207,208,13.761526
208,209,30.29852
209,210,11.643135
210,211,23.0223
211,212,37.937885
212,213,13.2800045
213,214,98.456566
214,215,113.98785
215,216,102.0496
216,217,120.37413
217,218,120.5133
218,219,57.215446
219,220,117.05527
220,221,120.116035
221,222,40.941826
222,223,120.329094
223,224,120.51225
224,225,12.01959
225,226,61.089996
226,227,12.712347
227,228,118.53882
228,229,92.25524
229,230,91.68583
230,231,7.4259224
231,232,39.67761
232,233,120.51324
233,234,97.80448
234,235,94.706764
235,236,12.255899
236,237,30.839918
237,238,100.13712
238,239,69.46241
239,240,115.27359
240,241,119.598145
241,242,16.202528
242,243,120.36968
243,244,119.75678
244,245,8.665762
245,246,96.5675
246,247,107.30063
247,248,64.49495
248,249,120.512794
249,250,7.9584165
250,251,118.395515
251,252,18.622782
252,253,74.89077
253,254,76.77113
254,255,55.61122
255,256,115.673676
256,257,28.156277
257,258,92.816154
258,259,71.88136
